,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,1488903,Turukhansk,93,RU,1579997922,94,65.82,87.98,-17.64,0.96
1024,1489209,Troitskoye,100,RU,1579998198,89,52.98,84.68,-6.28,3.54
1548,1489656,Teya,90,RU,1579999078,82,60.38,92.63,-9.93,6.36
1376,1490256,Talnakh,75,RU,1579998877,84,69.49,88.4,-17.0,4.0
10,1490364,Tabory,100,RU,1579998065,95,58.52,64.55,-13.73,2.84
1389,1492607,Severnoye,100,RU,1579998892,94,56.35,78.36,-15.81,4.33
1108,1495626,Pangody,83,RU,1579998212,98,65.85,74.49,-19.18,1.45
480,1500990,Kytmanovo,100,RU,1579998202,96,53.46,85.45,-5.42,2.81
1378,1501118,Kuzedeyevo,100,RU,1579998880,95,53.33,87.2,-5.45,2.77
616,1503037,Kodinsk,100,RU,1579998138,81,58.69,99.18,-5.98,6.28
739,1505579,Inta,87,RU,1579998153,99,66.03,60.17,-21.82,0.15
44,1507390,Dikson,100,RU,1579998137,96,73.51,80.55,-22.12,3.16
1542,1508260,Novobirilyussy,97,RU,1579999071,95,56.95,90.67,-6.76,2.51
346,1509844,Boguchany,62,RU,1579998181,85,58.38,97.45,-6.81,5.14
1664,1513491,Yangi Marg`ilon,75,UZ,1579998977,86,40.43,71.72,3.0,2.1
1279,1515029,Ulaangom,99,MN,1579998765,90,49.98,92.07,-21.42,1.26
464,1516048,Khovd,100,MN,1579997779,54,48.01,91.64,-12.97,1.01
1536,1519928,Kostanay,90,KZ,1579999064,92,53.17,63.58,-5.0,10.0
1394,1523662,Qashyr,35,KZ,1579998898,86,53.07,76.1,-13.85,6.49
1342,1527497,Kyzyl-Suu,100,KG,1579998838,61,42.34,78.0,-3.74,3.73
949,1529376,Korla,4,CN,1579998045,44,41.76,86.15,-10.41,0.79
1569,1572151,Nha Trang,20,VN,1579999102,94,12.25,109.18,23.0,0.5
1331,1582436,Don Luan,36,VN,1579998826,93,11.53,106.92,20.5,1.0
524,1586443,Ca Mau,83,VN,1579998209,94,9.18,105.15,22.18,1.33
678,1606851,Sai Buri,20,TH,1579998146,100,6.7,101.62,22.0,1.5
1505,1607068,Ranot,83,TH,1579999027,67,7.78,100.32,26.79,2.56
861,1608531,Nakhon Phanom,87,TH,1579998171,97,17.41,104.78,18.11,1.82
633,1621313,Ambulu,80,ID,1579998140,74,-8.35,113.61,28.05,2.34
1484,1627185,Sijunjung,96,ID,1579999003,98,-0.69,100.95,22.11,0.68
1654,1634614,Nabire,82,ID,1579999200,71,-3.37,135.48,29.82,0.35
1410,1635815,Maumere,28,ID,1579998917,73,-8.62,122.21,27.65,0.84
1678,1636308,Manokwari,100,ID,1579999228,70,-0.87,134.08,26.18,1.26
1188,1636426,Manggar,47,ID,1579998139,78,-2.88,108.27,27.73,3.97
870,1637001,Biak,27,ID,1579998172,78,-0.91,122.88,27.39,1.7
837,1638775,Payo,94,ID,1579998167,94,-3.75,103.64,20.62,0.59
501,1640972,Katobu,86,ID,1579998205,77,-4.94,122.53,28.44,0.65
508,1643837,Gorontalo,9,ID,1579998206,83,0.54,123.06,26.27,1.29
320,1644932,Ende,66,ID,1579998174,67,-8.84,121.66,29.01,0.61
